;0
1988-10-31;-16.63653200527049
1988-11-30;-44.696323135772595
1988-12-31;-2.557032236012958
1989-01-31;-34.69081951500142
1989-02-28;41.29090640600727
1989-03-31;-37.73610342989103
1989-04-30;2.4878589816381265
1989-05-31;-28.24937789524612
1989-06-30;-10.963771055009154
1989-07-31;-20.602371363510677
1989-08-31;-38.82178493918677
1989-09-30;-50.19554278175289
1989-10-31;-40.693207522008194
1989-11-30;1.6197586615946307
1989-12-31;-47.39821623781593
1990-01-31;-52.4474129875511
1990-02-28;-24.140946550688582
1990-03-31;-12.42511302700742
1990-04-30;2.175408611449569
1990-05-31;-28.36101959767913
1990-06-30;-10.892040448148101
1990-07-31;-23.99776851489958
1990-08-31;-30.05984883912894
1990-09-30;-57.5448576140878
1990-10-31;-60.41315467459191
1990-11-30;-74.15109226722006
1990-12-31;-44.142761470692264
1991-01-31;18.155877174040086
1991-02-28;-18.80610436948961
1991-03-31;5.569710275749969
1991-04-30;-49.904595850440536
1991-05-31;-30.328754764130856
1991-06-30;-5.581393122253651
1991-07-31;-19.518141156963736
1991-08-31;-40.79710166235119
1991-09-30;-36.337157165254055
1991-10-31;-11.832510521795783
1991-11-30;-56.955102812512756
1991-12-31;-41.92065953238439
1992-01-31;-80.16694635480312
1992-02-29;-59.56041327589612
1992-03-31;-45.840361461373256
1992-04-30;-47.887219040264426
1992-05-31;-34.99150906984072
1992-06-30;-17.5347615259926
1992-07-31;-21.352113945487332
1992-08-31;-20.6578476060816
1992-09-30;-64.87612949720857
1992-10-31;-53.572962426524526
1992-11-30;-34.387356524511915
1992-12-31;-51.94506873678003
1993-01-31;-62.88193329420052
1993-02-28;-18.335152395004513
1993-03-31;-34.49956708081058
1993-04-30;-20.02074311327796
1993-05-31;-30.58798313880812
1993-06-30;-15.872067380357064
1993-07-31;-22.292780448774238
1993-08-31;-31.648433586419728
1993-09-30;-51.96060349100645
1993-10-31;-18.302431214564777
1993-11-30;-32.055232384275456
1993-12-31;-19.848045372690166
1994-01-31;-13.842783486048774
1994-02-28;-4.761491419451943
1994-03-31;-22.38191998907285
1994-04-30;-38.317215398322
1994-05-31;-35.79570181951831
1994-06-30;-11.540481059369409
1994-07-31;-12.485532310549761
1994-08-31;-32.45343459722603
1994-09-30;-58.15348409890399
1994-10-31;-48.951124626208596
1994-11-30;-63.543582876882105
1994-12-31;-51.79809090181568
1995-01-31;-35.509045527685444
1995-02-28;-55.81220674133819
1995-03-31;2.448863014097199
1995-04-30;-25.59310904702803
1995-05-31;-13.732188439354047
1995-06-30;-17.914944836548635
1995-07-31;-24.739206972391713
1995-08-31;-32.94867466453796
