;pr
1947-08-31;5.45615
1947-09-30;28.5624
1947-10-31;31.6071
1947-11-30;57.2746
1947-12-31;82.8169
1948-01-31;63.3329
1948-02-29;63.9801
1948-03-31;107.295
1948-04-30;52.5839
1948-05-31;11.5805
1948-06-30;4.33398
1948-07-31;10.2523
1948-08-31;3.8043099999999996
1948-09-30;14.1214
1948-10-31;45.4137
1948-11-30;44.1821
1948-12-31;30.8615
1949-01-31;68.2568
1949-02-28;44.3078
1949-03-31;46.9015
1949-04-30;27.0372
1949-05-31;16.3854
1949-06-30;9.188930000000001
1949-07-31;6.781910000000001
1949-08-31;9.8457
1949-09-30;16.2361
1949-10-31;28.6982
1949-11-30;66.8858
1949-12-31;73.6216
1950-01-31;49.2407
1950-02-28;60.9578
1950-03-31;78.3416
1950-04-30;63.833999999999996
1950-05-31;41.0569
1950-06-30;6.15381
1950-07-31;16.7536
1950-08-31;24.3658
1950-09-30;23.275
1950-10-31;28.6859
1950-11-30;43.5057
1950-12-31;93.5829
1951-01-31;55.8028
1951-02-28;41.5469
1951-03-31;51.7766
1951-04-30;38.1135
1951-05-31;23.7131
1951-06-30;14.3119
1951-07-31;12.5083
1951-08-31;18.5386
1951-09-30;24.7418
1951-10-31;53.3389
1951-11-30;16.0585
1951-12-31;38.2143
1952-01-31;44.2847
1952-02-29;78.1465
1952-03-31;34.293
1952-04-30;23.7829
1952-05-31;15.126
1952-06-30;12.1784
1952-07-31;28.5521
1952-08-31;14.3145
1952-09-30;25.2918
1952-10-31;26.9849
1952-11-30;62.3891
1952-12-31;69.589
1953-01-31;47.5376
1953-02-28;96.7793
1953-03-31;45.9534
1953-04-30;54.0876
1953-05-31;12.0695
1953-06-30;8.36233
1953-07-31;12.0949
1953-08-31;16.9399
1953-09-30;19.2799
1953-10-31;43.3474
1953-11-30;75.6766
1953-12-31;68.9743
1954-01-31;58.2242
1954-02-28;58.4702
1954-03-31;88.8514
1954-04-30;35.048
1954-05-31;34.3773
1954-06-30;9.3925
1954-07-31;14.2296
1954-08-31;14.4115
1954-09-30;20.7992
1954-10-31;27.1278
1954-11-30;59.2091
1954-12-31;50.0005
1955-01-31;108.617
1955-02-28;108.91799999999999
1955-03-31;53.626999999999995
1955-04-30;43.5681
1955-05-31;17.1529
1955-06-30;20.2624
1955-07-31;12.1879
1955-08-31;12.6923
1955-09-30;10.1282
1955-10-31;41.7827
1955-11-30;71.0576
1955-12-31;73.1976
1956-01-31;38.7484
1956-02-29;103.962
1956-03-31;97.0846
1956-04-30;16.73
1956-05-31;31.1163
1956-06-30;10.9064
1956-07-31;9.320210000000001
1956-08-31;8.35571
1956-09-30;27.2834
1956-10-31;48.9621
1956-11-30;53.3369
1956-12-31;88.035
1957-01-31;57.29600000000001
1957-02-28;65.8369
1957-03-31;65.9632
1957-04-30;28.5809
1957-05-31;19.4362
1957-06-30;26.9047
1957-07-31;18.1461
1957-08-31;27.934
1957-09-30;58.4575
1957-10-31;58.1633
1957-11-30;38.5319
1957-12-31;62.8534
1958-01-31;108.18799999999999
1958-02-28;42.8854
1958-03-31;40.8761
1958-04-30;38.214
1958-05-31;33.2048
1958-06-30;6.4275199999999995
1958-07-31;2.73347
1958-08-31;9.91564
1958-09-30;28.2881
1958-10-31;29.6534
1958-11-30;54.6968
1958-12-31;90.5753
1959-01-31;63.9065
1959-02-28;62.8442
1959-03-31;36.4927
1959-04-30;42.0999
1959-05-31;46.19
1959-06-30;3.62301
1959-07-31;21.0355
1959-08-31;14.0897
1959-09-30;10.8883
1959-10-31;38.3652
1959-11-30;48.0941
1959-12-31;70.8216
1960-01-31;44.0116
1960-02-29;57.1271
1960-03-31;58.0071
1960-04-30;43.6485
1960-05-31;17.2459
1960-06-30;10.0091
1960-07-31;7.8184
1960-08-31;19.9156
1960-09-30;15.458
1960-10-31;32.705999999999996
1960-11-30;67.7922
1960-12-31;83.3306
1961-01-31;54.5549
1961-02-28;49.1258
1961-03-31;94.6694
1961-04-30;71.3236
1961-05-31;31.5542
1961-06-30;29.4334
1961-07-31;21.5058
1961-08-31;14.5173
1961-09-30;20.5409
1961-10-31;18.7591
1961-11-30;68.2875
1961-12-31;47.8174
1962-01-31;49.0819
1962-02-28;67.8638
1962-03-31;54.6996
1962-04-30;37.1501
1962-05-31;6.280819999999999
1962-06-30;16.2084
1962-07-31;5.94721
1962-08-31;23.9364
1962-09-30;9.22049
1962-10-31;30.2191
1962-11-30;84.3118
1962-12-31;47.4076
1963-01-31;106.197
1963-02-28;31.6801
1963-03-31;78.247
1963-04-30;52.2994
1963-05-31;16.5504
1963-06-30;26.1941
1963-07-31;26.221
1963-08-31;12.4149
1963-09-30;5.22049
1963-10-31;47.846000000000004
1963-11-30;72.6299
1963-12-31;49.2557
1964-01-31;63.2192
1964-02-29;40.5166
1964-03-31;45.0751
1964-04-30;26.0563
1964-05-31;5.4358
1964-06-30;30.3406
1964-07-31;4.20919
1964-08-31;13.5133
1964-09-30;22.6694
1964-10-31;73.7575
1964-11-30;39.974000000000004
1964-12-31;62.7664
1965-01-31;53.3146
1965-02-28;29.2816
1965-03-31;32.9551
1965-04-30;46.5802
1965-05-31;11.9157
1965-06-30;16.1251
1965-07-31;17.1987
1965-08-31;12.6558
1965-09-30;15.7026
1965-10-31;33.4745
1965-11-30;56.4532
1965-12-31;30.2789
1966-01-31;85.5065
1966-02-28;65.2731
1966-03-31;16.0091
1966-04-30;17.748
1966-05-31;12.8739
1966-06-30;12.6103
1966-07-31;5.7516099999999994
1966-08-31;12.4844
1966-09-30;20.925
1966-10-31;30.2893
1966-11-30;38.4155
1966-12-31;61.2315
1967-01-31;98.1227
1967-02-28;84.8676
1967-03-31;67.8478
1967-04-30;91.4485
1967-05-31;37.6269
1967-06-30;17.8859
1967-07-31;11.7055
1967-08-31;11.2301
1967-09-30;8.36026
1967-10-31;34.1598
1967-11-30;51.4348
1967-12-31;33.8559
1968-01-31;30.4656
1968-02-29;27.6499
1968-03-31;81.4082
1968-04-30;41.1863
1968-05-31;31.1497
1968-06-30;14.3576
1968-07-31;7.164210000000001
1968-08-31;14.9009
1968-09-30;16.0072
1968-10-31;29.2202
1968-11-30;43.4417
1968-12-31;51.1591
1969-01-31;32.729
1969-02-28;64.8413
1969-03-31;85.973
1969-04-30;45.7827
1969-05-31;27.5092
1969-06-30;7.08558
1969-07-31;6.08919
1969-08-31;6.83409
1969-09-30;17.9908
1969-10-31;63.8646
1969-11-30;34.9571
1969-12-31;48.6363
1970-01-31;37.2216
1970-02-28;48.4597
1970-03-31;19.9225
1970-04-30;16.9032
1970-05-31;19.9122
1970-06-30;22.7387
1970-07-31;13.9289
1970-08-31;33.4178
1970-09-30;19.9537
1970-10-31;43.7324
1970-11-30;39.841
1970-12-31;75.7411
1971-01-31;79.5697
1971-02-28;57.4711
1971-03-31;49.7652
1971-04-30;49.9611
1971-05-31;31.8534
1971-06-30;8.86148
1971-07-31;27.3403
1971-08-31;24.9358
1971-09-30;12.2903
1971-10-31;48.7818
1971-11-30;51.854
1971-12-31;55.0497
1972-01-31;113.523
1972-02-29;72.387
1972-03-31;88.8189
1972-04-30;27.3825
1972-05-31;17.8437
1972-06-30;10.8804
1972-07-31;5.41297
1972-08-31;8.14982
1972-09-30;10.1061
1972-10-31;28.4629
1972-11-30;44.1
1972-12-31;27.7937
1973-01-31;37.1214
1973-02-28;76.7603
1973-03-31;56.1829
1973-04-30;50.3289
1973-05-31;8.72178
1973-06-30;3.25407
1973-07-31;14.9685
1973-08-31;22.4098
1973-09-30;40.499
1973-10-31;34.2637
1973-11-30;54.5594
1973-12-31;86.6539
1974-01-31;136.683
1974-02-28;109.219
1974-03-31;93.632
1974-04-30;47.6489
1974-05-31;30.0937
1974-06-30;15.8327
1974-07-31;7.70305
1974-08-31;40.6084
1974-09-30;13.9004
1974-10-31;21.3807
1974-11-30;78.9795
1974-12-31;56.3363
1975-01-31;86.5787
1975-02-28;85.7343
1975-03-31;72.1865
1975-04-30;39.7345
1975-05-31;21.9999
1975-06-30;14.511
1975-07-31;13.0107
1975-08-31;11.0106
1975-09-30;32.0842
1975-10-31;18.5634
1975-11-30;60.5045
1975-12-31;115.882
1976-01-31;125.381
1976-02-29;111.823
1976-03-31;122.27600000000001
1976-04-30;45.9576
1976-05-31;31.9412
1976-06-30;17.1724
1976-07-31;13.4479
1976-08-31;6.34065
1976-09-30;24.8817
