pr,"	Year", Month, Country, ISO3, ISO2
60.9926,1930,3,ZAF,,
28.6188,1930,4,ZAF,,
11.31,1930,5,ZAF,,
10.2696,1930,6,ZAF,,
7.97062,1930,7,ZAF,,
25.7443,1930,8,ZAF,,
17.397,1930,9,ZAF,,
24.5188,1930,10,ZAF,,
33.6212,1930,11,ZAF,,
58.7864,1930,12,ZAF,,
81.7515,1931,1,ZAF,,
48.3448,1931,2,ZAF,,
57.8373,1931,3,ZAF,,
47.8238,1931,4,ZAF,,
4.03319,1931,5,ZAF,,
4.91983,1931,6,ZAF,,
30.9685,1931,7,ZAF,,
8.86277,1931,8,ZAF,,
8.69526,1931,9,ZAF,,
40.3694,1931,10,ZAF,,
57.7718,1931,11,ZAF,,
54.5543,1931,12,ZAF,,
41.3729,1932,1,ZAF,,
80.0008,1932,2,ZAF,,
59.1679,1932,3,ZAF,,
18.1398,1932,4,ZAF,,
24.4785,1932,5,ZAF,,
11.4222,1932,6,ZAF,,
9.01652,1932,7,ZAF,,
3.97126,1932,8,ZAF,,
37.2653,1932,9,ZAF,,
26.8652,1932,10,ZAF,,
43.4007,1932,11,ZAF,,
57.4316,1932,12,ZAF,,
45.0517,1933,1,ZAF,,
33.2799,1933,2,ZAF,,
43.1197,1933,3,ZAF,,
23.4051,1933,4,ZAF,,
7.01089,1933,5,ZAF,,
12.2649,1933,6,ZAF,,
11.4423,1933,7,ZAF,,
16.2086,1933,8,ZAF,,
8.53088,1933,9,ZAF,,
12.3005,1933,10,ZAF,,
93.4784,1933,11,ZAF,,
85.2166,1933,12,ZAF,,
107.236,1934,1,ZAF,,
68.8687,1934,2,ZAF,,
69.3133,1934,3,ZAF,,
33.2353,1934,4,ZAF,,
26.255,1934,5,ZAF,,
8.26158,1934,6,ZAF,,
20.6516,1934,7,ZAF,,
13.8889,1934,8,ZAF,,
10.7297,1934,9,ZAF,,
47.5384,1934,10,ZAF,,
85.7081,1934,11,ZAF,,
70.2373,1934,12,ZAF,,
37.9203,1935,1,ZAF,,
52.8762,1935,2,ZAF,,
60.9362,1935,3,ZAF,,
37.8656,1935,4,ZAF,,
40.8441,1935,5,ZAF,,
17.4517,1935,6,ZAF,,
7.78507,1935,7,ZAF,,
15.5144,1935,8,ZAF,,
17.0576,1935,9,ZAF,,
17.9543,1935,10,ZAF,,
31.8576,1935,11,ZAF,,
44.1942,1935,12,ZAF,,
61.598,1936,1,ZAF,,
65.5988,1936,2,ZAF,,
87.1036,1936,3,ZAF,,
16.6612,1936,4,ZAF,,
39.1554,1936,5,ZAF,,
4.16373,1936,6,ZAF,,
12.8046,1936,7,ZAF,,
5.89952,1936,8,ZAF,,
25.1637,1936,9,ZAF,,
41.6519,1936,10,ZAF,,
98.4558,1936,11,ZAF,,
41.4837,1936,12,ZAF,,
91.2055,1937,1,ZAF,,
94.5761,1937,2,ZAF,,
44.5897,1937,3,ZAF,,
18.2614,1937,4,ZAF,,
8.09763,1937,5,ZAF,,
9.60635,1937,6,ZAF,,
13.3719,1937,7,ZAF,,
3.96416,1937,8,ZAF,,
15.4722,1937,9,ZAF,,
25.7707,1937,10,ZAF,,
28.7419,1937,11,ZAF,,
90.517,1937,12,ZAF,,
67.1246,1938,1,ZAF,,
61.4746,1938,2,ZAF,,
28.7569,1938,3,ZAF,,
53.8902,1938,4,ZAF,,
11.3875,1938,5,ZAF,,
20.0939,1938,6,ZAF,,
13.7075,1938,7,ZAF,,
11.7003,1938,8,ZAF,,
17.5171,1938,9,ZAF,,
51.0764,1938,10,ZAF,,
44.4204,1938,11,ZAF,,
80.6946,1938,12,ZAF,,
76.0601,1939,1,ZAF,,
128.877,1939,2,ZAF,,
51.3557,1939,3,ZAF,,
16.9987,1939,4,ZAF,,
23.9198,1939,5,ZAF,,
6.76255,1939,6,ZAF,,
27.6779,1939,7,ZAF,,
37.5244,1939,8,ZAF,,
26.6968,1939,9,ZAF,,
49.1112,1939,10,ZAF,,
72.7049,1939,11,ZAF,,
48.5304,1939,12,ZAF,,
50.7429,1940,1,ZAF,,
61.6644,1940,2,ZAF,,
85.3839,1940,3,ZAF,,
33.061,1940,4,ZAF,,
24.7851,1940,5,ZAF,,
22.5905,1940,6,ZAF,,
8.94729,1940,7,ZAF,,
5.72049,1940,8,ZAF,,
47.3684,1940,9,ZAF,,
17.9686,1940,10,ZAF,,
64.744,1940,11,ZAF,,
70.327,1940,12,ZAF,,
80.0443,1941,1,ZAF,,
74.0493,1941,2,ZAF,,
32.3059,1941,3,ZAF,,
54.7274,1941,4,ZAF,,
12.8527,1941,5,ZAF,,
14.3649,1941,6,ZAF,,
10.5123,1941,7,ZAF,,
13.7427,1941,8,ZAF,,
18.0946,1941,9,ZAF,,
42.4465,1941,10,ZAF,,
20.3399,1941,11,ZAF,,
46.5413,1941,12,ZAF,,
72.7407,1942,1,ZAF,,
53.2566,1942,2,ZAF,,
85.5446,1942,3,ZAF,,
30.5748,1942,4,ZAF,,
26.8051,1942,5,ZAF,,
18.1213,1942,6,ZAF,,
4.63438,1942,7,ZAF,,
21.15,1942,8,ZAF,,
21.5934,1942,9,ZAF,,
62.466,1942,10,ZAF,,
58.5063,1942,11,ZAF,,
84.8956,1942,12,ZAF,,
55.9271,1943,1,ZAF,,
42.9589,1943,2,ZAF,,
64.9196,1943,3,ZAF,,
80.1486,1943,4,ZAF,,
29.8671,1943,5,ZAF,,
10.3726,1943,6,ZAF,,
19.3942,1943,7,ZAF,,
40.2201,1943,8,ZAF,,
21.3552,1943,9,ZAF,,
48.7961,1943,10,ZAF,,
103.847,1943,11,ZAF,,
74.2335,1943,12,ZAF,,
61.1603,1944,1,ZAF,,
