;0
1930-11-30;20.6708
1930-12-31;22.5531
1931-01-31;23.0696
1931-02-28;23.2387
1931-03-31;21.5166
1931-04-30;16.6216
1931-05-31;15.1483
1931-06-30;10.9667
1931-07-31;10.0425
1931-08-31;12.8582
1931-09-30;15.2999
1931-10-31;17.7283
1931-11-30;20.5567
1931-12-31;22.1952
1932-01-31;22.2246
1932-02-29;22.6835
1932-03-31;21.3068
1932-04-30;19.8597
1932-05-31;14.9664
1932-06-30;11.2713
1932-07-31;10.4739
1932-08-31;13.1838
1932-09-30;15.6972
1932-10-31;18.6482
1932-11-30;21.0983
1932-12-31;22.0178
1933-01-31;23.1007
1933-02-28;23.1816
1933-03-31;21.471999999999998
1933-04-30;18.4267
1933-05-31;14.7479
1933-06-30;10.5553
1933-07-31;10.9784
1933-08-31;12.5142
1933-09-30;15.7901
1933-10-31;19.0602
1933-11-30;19.9376
1933-12-31;22.0036
1934-01-31;22.1348
1934-02-28;21.9732
1934-03-31;20.5652
1934-04-30;18.8263
1934-05-31;15.4469
1934-06-30;12.7491
1934-07-31;10.6984
1934-08-31;13.6232
1934-09-30;15.9465
1934-10-31;18.0272
1934-11-30;20.164
1934-12-31;21.6415
1935-01-31;23.0718
1935-02-28;22.0008
1935-03-31;19.4588
1935-04-30;17.0339
1935-05-31;13.1421
1935-06-30;10.3963
1935-07-31;10.8937
1935-08-31;11.2487
1935-09-30;14.7805
1935-10-31;19.1591
1935-11-30;19.4932
1935-12-31;21.4113
1936-01-31;21.7492
1936-02-29;21.6288
1936-03-31;20.6998
1936-04-30;18.0944
1936-05-31;12.8679
1936-06-30;12.0333
1936-07-31;11.6656
1936-08-31;13.5202
1936-09-30;15.2624
1936-10-31;17.2646
1936-11-30;19.4644
1936-12-31;21.730999999999998
1937-01-31;22.6833
1937-02-28;22.7689
1937-03-31;21.0116
1937-04-30;17.555
1937-05-31;14.4591
1937-06-30;10.9101
1937-07-31;10.2011
1937-08-31;13.5615
1937-09-30;14.9122
1937-10-31;18.5825
1937-11-30;21.304000000000002
1937-12-31;21.6343
1938-01-31;22.6469
1938-02-28;22.0857
1938-03-31;21.5003
1938-04-30;18.0943
1938-05-31;14.3724
1938-06-30;11.843
1938-07-31;11.5205
1938-08-31;12.1937
1938-09-30;15.3585
1938-10-31;18.3281
1938-11-30;19.3056
1938-12-31;21.8472
1939-01-31;22.6866
1939-02-28;22.1091
1939-03-31;20.3331
1939-04-30;16.9216
1939-05-31;14.3361
1939-06-30;11.7416
1939-07-31;10.8488
1939-08-31;12.2192
1939-09-30;14.5978
1939-10-31;18.3836
1939-11-30;19.714000000000002
1939-12-31;22.1636
1940-01-31;22.8003
1940-02-29;23.0353
1940-03-31;20.5605
1940-04-30;16.8985
1940-05-31;13.7974
1940-06-30;11.4538
1940-07-31;10.9593
1940-08-31;14.0126
1940-09-30;15.3702
1940-10-31;18.4926
1940-11-30;19.9188
1940-12-31;22.7971
1941-01-31;22.9259
1941-02-28;22.3083
1941-03-31;21.3333
1941-04-30;18.2689
1941-05-31;14.9554
1941-06-30;11.4285
1941-07-31;11.5534
